"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000189221.9",2373.80530666857,3.38765439100125,0.136984725340634,1.8449393099473e-137,3.11757844594895e-133,"MAOA","4128"
"ENSG00000120129.5",3420.72722668767,2.96334836319662,0.120849818517146,6.35042375629177e-135,5.36547303169092e-131,"DUSP1","1843"
"ENSG00000101347.9",14125.5841210142,3.74129175571412,0.157926779740034,2.88983300270547e-127,1.62774660265723e-123,"SAMHD1","25939"
"ENSG00000196136.17",2710.21742603852,3.23518345105421,0.143950996111699,3.68488166635128e-114,1.5566782599501e-110,"SERPINA3","12"
"ENSG00000152583.12",974.737366684742,4.48640613542986,0.201275651989057,2.94551443721412e-113,9.95466059200882e-110,"SPARCL1","8404"
"ENSG00000211445.11",12512.7915263227,3.75874563219015,0.169535830278786,2.3624630645206e-112,6.65348347737818e-109,"GPX3","2878"
"ENSG00000162614.18",5511.42886062423,2.00242475529076,0.0918990046020185,9.35274410638543e-107,2.25775242728144e-103,"NEXN","91624"
"ENSG00000157214.13",3032.09554258641,2.00772155055226,0.0934255256219206,1.04886341865534e-103,2.21546175605473e-100,"STEAP2","261729"
"ENSG00000154734.14",29608.2224675216,2.23119034397183,0.109592761036218,9.79083450989258e-94,1.83828357275739e-90,"ADAMTS1","9510"
"ENSG00000125148.6",3691.40735646806,2.22625954379996,0.109512174533342,2.05448558842931e-93,3.47166974732785e-90,"MT2A","4502"
"ENSG00000109906.13",438.193981971508,6.35006088835842,0.315957644504756,8.08933590242249e-92,1.24266907344668e-88,"ZBTB16","7704"
"ENSG00000134243.11",5543.59360082063,2.19213004219511,0.11361083702578,1.29903234900889e-84,1.82925405279602e-81,"SORT1","6272"
"ENSG00000139132.14",1215.52553921277,2.14246858932624,0.112315555575995,1.77995994964192e-82,2.31367409454224e-79,"FGD4","121512"
"ENSG00000127954.12",493.200428518741,4.72209825743032,0.252296384157135,2.04378727859924e-80,2.46685124526929e-77,"STEAP4","79689"
"ENSG00000178695.5",2646.11820131036,-2.51718866915471,0.137820105175001,1.73523393411183e-76,1.95479886790812e-73,"KCTD12","115207"
"ENSG00000106484.15",942.144729137826,-2.0199619739292,0.112745181029223,3.05058486298786e-73,3.22179893842306e-70,"MEST","4232"
"ENSG00000162692.11",504.943122753552,-3.65065706231819,0.207047681955099,6.10232947615413e-72,6.06571549929721e-69,"VCAM1","7412"
"ENSG00000166741.7",7493.99425894884,2.23269628889849,0.128365116661035,2.52098328723507e-69,2.36664308820546e-66,"NNMT","4837"
"ENSG00000145390.11",8699.60480031948,2.28151913612919,0.133489243074465,2.16585998227954e-67,1.92624747266103e-64,"USP53","54532"
"ENSG00000179094.15",773.192105758149,3.10828846986474,0.18383081797041,2.43797867062699e-66,2.05984817881274e-63,"PER1","5187"
"ENSG00000198624.12",2038.17767002042,2.83064885539957,0.167718885135975,3.34796210819672e-66,2.69399350972896e-63,"CCDC69","26112"
"ENSG00000253368.3",1047.13743381845,2.01228025006371,0.118506667514177,4.53627963428919e-66,3.48427514819176e-63,"TRNP1","388610"
"ENSG00000163884.3",566.217643764746,4.48208199883911,0.267733396738959,6.9794672574985e-66,5.12778424857433e-63,"KLF15","28999"
"ENSG00000119139.19",5707.07700588364,1.94865801356366,0.116801015581866,2.29040761953501e-64,1.61263783145428e-61,"TJP2","9414"
"ENSG00000124766.6",1280.04219568706,-2.36810857522478,0.145771673875978,3.68936940165858e-61,2.49371856596907e-58,"SOX4","6659"
"ENSG00000126016.15",401.009712736367,-2.56146115035001,0.157764461610119,1.10974343733202e-60,7.21247869386019e-58,"AMOT","154796"
"ENSG00000163661.3",9819.06486685456,2.23901323909192,0.138732492107137,1.72867587860043e-60,1.08189499987371e-57,"PTX3","5806"
"ENSG00000146250.6",309.821805030152,-2.70158253544742,0.166790400572269,2.88294541784185e-60,1.73985755966756e-57,"PRSS35","167681"
"ENSG00000233117.2",121.800702380889,4.8619927868981,0.300754900415711,6.52147249722108e-60,3.79999456062213e-57,NA,NA
"ENSG00000163394.5",1173.06977218889,-2.16311507151182,0.134553798734546,1.39372020029961e-59,7.85036131488762e-57,"CCKAR","886"
"ENSG00000163083.5",422.293738869504,3.45999378296979,0.21916922614441,5.28861114164116e-58,2.88280487327266e-55,"INHBB","3625"
"ENSG00000136478.7",3708.27847381302,1.48528205962786,0.0942927498104244,3.70927909691015e-57,1.95873119311212e-54,"TEX2","55852"
"ENSG00000262655.3",1635.2341311335,1.77859778420537,0.113326028692524,7.83229713484039e-57,4.01061081771312e-54,"SPON1","10418"
"ENSG00000116285.12",3248.61226378841,2.41763352988055,0.157232801644188,2.47855733968679e-55,1.23184299782434e-52,"ERRFI1","54206"
"ENSG00000165995.19",562.819490767498,3.11332044156679,0.202968084471305,5.41620379972432e-55,2.6149431945069e-52,"CACNB2","783"
"ENSG00000162493.16",1058.95180872109,1.76275666256394,0.114398101296784,7.60157768674702e-55,3.56809610418476e-52,"PDPN","10630"
"ENSG00000105989.9",349.543265584188,-3.0202142083048,0.197020809817525,2.19191713900433e-54,1.00105448148365e-51,"WNT2","7472"
"ENSG00000196569.12",17943.3606496474,2.02158760050935,0.132522219133092,2.96301342390836e-54,1.31760528518956e-51,"LAMA2","3908"
"ENSG00000154930.14",659.157857258504,1.86018419562124,0.12157014432449,4.29849135480294e-54,1.86245915162718e-51,"ACSS1","84532"
"ENSG00000046653.14",1127.87615398109,2.63487918476456,0.173923805502059,1.73193246797384e-53,7.31654871095547e-51,"GPM6B","2824"
"ENSG00000107562.16",27586.8939998272,-1.80043262441214,0.119149795687038,2.56279208724231e-53,1.05624538268831e-50,"CXCL12","6387"
"ENSG00000148175.12",13529.2144667443,1.41126118600952,0.0951619427852836,4.78514360345486e-51,1.92522277645667e-48,"STOM","2040"
"ENSG00000126803.9",464.988116989708,2.49554419901504,0.170648701484669,4.30307873395202e-50,1.69100987084468e-47,"HSPA2","3306"
"ENSG00000185432.11",3949.25136174865,2.19698240230286,0.151231253879659,1.16072638273148e-49,4.45771691259013e-47,"METTL7A","25840"
"ENSG00000102804.14",5296.09937481793,1.18670074510066,0.0816147506198005,6.52326971739242e-49,2.44956025965549e-46,"TSC22D1","8848"
"ENSG00000103196.11",3131.4491152148,2.60590473006087,0.182718072687044,1.83845021850789e-48,6.75350691137963e-46,"CRISPLD2","83716"
"ENSG00000157150.4",191.886661441475,2.88082329716967,0.200702217818126,5.88872976569668e-48,2.11718628895197e-45,"TIMP4","7079"
"ENSG00000172403.10",9157.37877572384,1.74877466518686,0.121953595237933,6.99520579171846e-48,2.46260390559289e-45,"SYNPO2","171024"
"ENSG00000124762.13",8042.94440802676,-0.99433300175612,0.0691693651331848,9.40553179587722e-48,3.20300964470826e-45,"CDKN1A","1026"
"ENSG00000164647.8",1854.16218482233,1.55759838572663,0.108829337637412,9.47748149102929e-48,3.20300964470826e-45,"STEAP1","26872"
